target,Semester,Exam,Time_of_day,Warning,Month,Day_of_week
1,5,0,17,0,7,Wednesday
1,7,0,9,0,2,Tuesday
1,5,0,1,0,5,Wednesday
1,9,0,11,0,12,Tuesday
1,11,0,12,0,8,Wednesday
1,7,0,17,0,3,Friday
2,5,0,11,0,7,Tuesday
1,13,0,7,0,2,Wednesday
1,18,0,10,0,11,Tuesday
1,11,0,12,0,6,Monday
1,3,0,17,0,8,Friday
1,4,0,15,0,4,Thursday
2,14,0,10,1,6,Monday
1,15,0,18,0,10,Wednesday
1,16,0,11,0,1,Thursday
1,4,0,7,0,1,Friday
1,15,0,15,1,8,Wednesday
1,16,0,16,0,2,Tuesday
1,6,0,14,0,10,Friday
1,4,0,14,0,2,Monday
1,3,0,8,0,10,Thursday
1,3,0,14,0,11,Friday
2,6,0,11,0,11,Friday
1,6,0,12,0,10,Wednesday
1,13,0,8,0,4,Thursday
1,7,0,20,0,3,Thursday
3,12,0,9,0,11,Monday
1,7,0,19,0,2,Monday
1,15,0,11,0,10,Wednesday
1,9,0,9,0,10,Monday
1,14,0,16,0,6,Monday
1,4,0,11,0,1,Tuesday
1,12,0,10,1,9,Wednesday
1,7,0,17,0,3,Tuesday
1,16,0,13,0,2,Wednesday
1,12,0,17,0,11,Monday
2,13,0,10,0,2,Monday
1,12,0,14,0,10,Wednesday
2,11,0,10,0,8,Monday
4,12,0,16,0,9,Friday
1,12,0,8,0,10,Wednesday
1,15,0,12,0,12,Tuesday
1,12,0,8,0,9,Tuesday
1,18,0,9,0,9,Monday
1,13,0,13,0,2,Wednesday
1,6,0,10,0,9,Friday
2,16,0,10,1,1,Friday
1,3,0,20,0,9,Friday
1,9,0,16,0,11,Monday
1,9,0,11,0,11,Monday
1,14,0,12,0,6,Monday
